Название раздела;Название раздела;Название раздела;Название товара;Артикул товара;Артикул родительского товара;Цена товара;Название производителя;Файл изображения для товара;Цвет;Размер;Состав;Сезон;Описание товара;Дополнительное изображение № 1;Дополнительное изображение № 2;Дополнительное изображение № 3;Дополнительное изображение № 4;Дополнительное изображение № 5;Дополнительное изображение № 6;"Склад ""Основной""";Флаг индексации;Новые поступления;
Женская одежда;Носки, колготки;Nur die;Колготки;140515_1;;325;Nur die;/upload/import/140515_1.JPG;Коричневый;;91% полиамид 9% эластан;Демисезон;;;;;;;;2;1;;
;;;Колготки;140515_1-M;140515_1;325;Nur die;;Коричневый;                M ;;Демисезон;;;;;;;;2;0;;
Женская одежда;Носки, колготки;Nur die;Колготки;140515_2;;325;Nur die;/upload/import/140515_2.JPG;Коричневый;;91% полиамид 9% эластан;Демисезон;;;;;;;;2;1;;
;;;Колготки;140515_2-M;140515_2;325;Nur die;;Коричневый;                M ;;Демисезон;;;;;;;;2;0;;
Женская одежда;Носки, колготки;Nur die;Колготки;140515_3;;325;Nur die;/upload/import/140515_3.JPG;Коричневый;;91% полиамид 9% эластан;Демисезон;;;;;;;;2;1;;
;;;Колготки;140515_3-M;140515_3;325;Nur die;;Коричневый;                M ;;Демисезон;;;;;;;;2;0;;
Женская одежда;Носки, колготки;Nur die;Колготки;140515_4;;325;Nur die;/upload/import/140515_4.JPG;Коричневый;;91% полиамид 9% эластан;Демисезон;;;;;;;;2;1;;
;;;Колготки;140515_4-XL;140515_4;325;Nur die;;Коричневый;               XL;;Демисезон;;;;;;;;2;0;;
Женская одежда;Носки, колготки;Nur die;Колготки;140515_5;;325;Nur die;/upload/import/140515_5.JPG;Черный;;91% полиамид 9% эластан;Демисезон;;;;;;;;2;1;;
;;;Колготки;140515_5-52/56;140515_5;325;Nur die;;Черный;        52/56;;Демисезон;;;;;;;;2;0;;
Женская одежда;Носки, колготки;Nur die;Колготки;140515_6;;325;Nur die;/upload/import/140515_6.JPG;Коричневый;;91% полиамид 9% эластан;Демисезон;;;;;;;;2;1;;
;;;Колготки;140515_6-M;140515_6;325;Nur die;;Коричневый;                M ;;Демисезон;;;;;;;;2;0;;
Женская одежда;Носки, колготки;Nur die;Колготки;140515_7;;325;Nur die;/upload/import/140515_7.JPG;Коричневый;;91% полиамид 9% эластан;Демисезон;;;;;;;;2;1;;
;;;Колготки;140515_7-52/56;140515_7;325;Nur die;;Коричневый;        52/56;;Демисезон;;;;;;;;2;0;;
Женская одежда;Носки, колготки;Nur die;Колготки;140515_8;;325;Nur die;/upload/import/140515_8.JPG;Черный;;91% полиамид 9% эластан;Демисезон;;;;;;;;2;1;;
;;;Колготки;140515_8-L;140515_8;325;Nur die;;Черный;                 L;;Демисезон;;;;;;;;2;0;;
Женская одежда;Носки, колготки;Nur die;Колготки;140515_9;;325;Nur die;/upload/import/140515_9.JPG;Коричневый;;91% полиамид 9% эластан;Демисезон;;;;;;;;2;1;;
;;;Колготки;140515_9-52/56;140515_9;325;Nur die;;Коричневый;        52/56;;Демисезон;;;;;;;;2;0;;
Женская одежда;Носки, колготки;Nur die;Колготки;140515_10;;325;Nur die;/upload/import/140515_10.JPG;Серый;;50% полиамид 44% хлопок 6% эластан;Демисезон;;;;;;;;2;1;;
;;;Колготки;140515_10-S;;325;Nur die;;Серый;                 S;;Демисезон;;;;;;;;2;0;;
;;;Колготки;140515_10-L;140515_10;325;Nur die;;Серый;                 L;;Демисезон;;;;;;;;2;0;;
Женская одежда;Носки, колготки;Nur die;Колготки;140515_11;;325;Nur die;/upload/import/140515_11.JPG;Коричневый;;91% полиамид 9% эластан;Демисезон;;;;;;;;2;1;;
;;;Колготки;140515_11-52/56;140515_11;325;Nur die;;Коричневый;        52/56;;Демисезон;;;;;;;;2;0;;
Женская одежда;Носки, колготки;Nur die;Колготки;140515_12;;325;Nur die;/upload/import/140515_12.JPG;Черный;;91% полиамид 9% эластан;Демисезон;;;;;;;;2;1;;
;;;Колготки;140515_12-L;140515_12;325;Nur die;;Черный;                 L;;Демисезон;;;;;;;;2;0;;
Женская одежда;Носки, колготки;Nur die;Колготки;140515_13;;325;Nur die;/upload/import/140515_13.JPG;Коричневый;;91% полиамид 9% эластан;Демисезон;;;;;;;;2;1;;
;;;Колготки;140515_13-M;140515_13;325;Nur die;;Коричневый;                M ;;Демисезон;;;;;;;;2;0;;
Женская одежда;Носки, колготки;Nur die;Колготки;140515_14;;325;Nur die;/upload/import/140515_14.JPG;Коричневый;;91% полиамид 9% эластан;Демисезон;;;;;;;;2;1;;
;;;Колготки;140515_14-44/48;140515_14;325;Nur die;;Коричневый;        44/48;;Демисезон;;;;;;;;2;0;;
Женская одежда;Носки, колготки;Nur die;Колготки;140515_15;;325;Nur die;/upload/import/140515_15.JPG;Коричневый;;91% полиамид 9% эластан;Демисезон;;;;;;;;2;1;;
;;;Колготки;140515_15-XL;140515_15;325;Nur die;;Коричневый;               XL;;Демисезон;;;;;;;;2;0;;
Женская одежда;Носки, колготки;Nur die;Колготки;140515_16;;325;Nur die;/upload/import/140515_16.JPG;Коричневый;;91% полиамид 9% эластан;Демисезон;;;;;;;;2;1;;
;;;Колготки;140515_16-48/52;140515_16;325;Nur die;;Коричневый;        48/52;;Демисезон;;;;;;;;2;0;;
Женская одежда;Носки, колготки;Nur die;Колготки;140515_17;;325;Nur die;/upload/import/140515_17.JPG;Черный;;50% полиамид 44% хлопок 6% эластан;Демисезон;;;;;;;;2;1;;
;;;Колготки;140515_17-M;140515_17;325;Nur die;;Черный;                M ;;Демисезон;;;;;;;;2;0;;
;;;Колготки;140515_17-L;140515_17;325;Nur die;;Черный;                 L;;Демисезон;;;;;;;;2;0;;
Женская одежда;Носки, колготки;Nur die;Колготки;140515_18;;325;Nur die;/upload/import/140515_18.JPG;Коричневый;;91% полиамид 9% эластан;Демисезон;;;;;;;;2;1;;
;;;Колготки;140515_18-48/52;140515_18;325;Nur die;;Коричневый;        48/52;;Демисезон;;;;;;;;2;0;;
Женская одежда;Носки, колготки;Nur die;Колготки;140515_19;;325;Nur die;/upload/import/140515_19.JPG;Коричневый;;91% полиамид 9% эластан;Демисезон;;;;;;;;2;1;;
;;;Колготки;140515_19-S;140515_19;325;Nur die;;Коричневый;                 S;;Демисезон;;;;;;;;2;0;;
Женская одежда;Носки, колготки;Nur die;Колготки;140515_20;;325;Nur die;/upload/import/140515_20.JPG;Серый;;91% полиамид 9% эластан;Демисезон;;;;;;;;2;1;;
;;;Колготки;140515_20-S;140515_20;325;Nur die;;Серый;                 S;;Демисезон;;;;;;;;2;0;;
Женская одежда;Носки, колготки;Nur die;Колготки;140515_21;;325;Nur die;/upload/import/140515_21.JPG;Коричневый;;91% полиамид 9% эластан;Демисезон;;;;;;;;2;1;;
;;;Колготки;140515_21-L;140515_21;325;Nur die;;Коричневый;                 L;;Демисезон;;;;;;;;2;0;;
Женская одежда;Носки, колготки;Nur die;Носки;050514_13;;156;Nur die;/upload/import/050514_13.JPG;Синий;;51% хлопок 49% модал;Демисезон;;;;;;;;2;1;;
;;;Носки;050514_13-39-42;050514_13;156;Nur die;;Синий;39-42;;Демисезон;;;;;;;;2;0;;
Мужская одежда;Носки;Nur die;Носки;050514_14;;156;Nur die;/upload/import/050514_14.JPG;Мультиколор;;70% хлопок 28% полиамид 2% эластан;Демисезон;;;;;;;;2;1;;
;;;Носки;050514_14-43-46;050514_14;156;Nur die;;Мультиколор;43-46;;Демисезон;;;;;;;;2;0;;
Мужская одежда;Носки;Nur die;Носки;050514_10;;156;Nur die;/upload/import/050514_10.JPG;Бежевый;;63% хлопок 37% полиамид;Демисезон;;;;;;;;2;1;;
;;;Носки;050514_10-43-46;050514_10;156;Nur die;;Бежевый;43-46;;Демисезон;;;;;;;;2;0;;
Мужская одежда;Носки;Nur die;Комплект носков 2 пары;050514_9;;156;Nur die;/upload/import/050514_9.JPG;Бежевый;;63% хлопок 37% полиамид;Демисезон;;;;;;;;2;1;;
;;;Комплект носков 2 пары;050514_9-43-46;050514_9;156;Nur die;;Бежевый;43-46;;Демисезон;;;;;;;;2;0;;
Мужская одежда;Носки;Nur die;Носки;050514_6;;156;Nur die;/upload/import/050514_6.JPG;Черный;;85% хлопок 14% полиамид 1% эластан;Демисезон;;;;;;;;2;1;;
;;;Носки;050514_6-39-42;050514_6;156;Nur die;;Черный;39-42;;Демисезон;;;;;;;;2;0;;
;;;Носки;050514_6-43-46;050514_6;156;Nur die;;Черный;43-46;;Демисезон;;;;;;;;2;0;;
Мужская одежда;Носки;Nur die;Комплект носков 3 пары;050514_4;;156;Nur die;/upload/import/050514_4.JPG;Черный;;63% хлопок 37% полиамид;Демисезон;;;;;;;;2;1;;
;;;Комплект носков 3 пары;050514_4-39-42;050514_4;156;Nur die;;Черный;39-42;;Демисезон;;;;;;;;2;0;;
Мужская одежда;Носки;Nur die;Носки;050514_15;;156;Nur die;/upload/import/050514_15.JPG;Черный;;85% хлопок 14% полиамид 1% эластан;Демисезон;;;;;;;;2;1;;
;;;Носки;050514_15-39-42;;156;Nur die;;Черный;39-42;;Демисезон;;;;;;;;2;0;;
;;;Носки;050514_15-43-46;050514_15;156;Nur die;;Черный;43-46;;Демисезон;;;;;;;;2;0;;
Мужская одежда;Носки;Nur die;Носки;050514_2;;156;Nur die;/upload/import/050514_2.JPG;Черный;;71% хлопок 27% полиамид 2% эластан;Демисезон;;;;;;;;2;1;;
;;;Носки;050514_2-43-46;050514_2;156;Nur die;;Черный;43-46;;Демисезон;;;;;;;;2;0;;
